name,guard_name,prefix

admin-list,admin,Admin
admin-create,admin,Admin
admin-edit,admin,Admin
admin-delete,admin,Admin
admin-status,admin,Admin
admin-details,admin,Admin
admin-trash,admin,Admin
admin-restore,admin,Admin
admin-permanent-delete,admin,Admin

role-list,admin,Role
role-create,admin,Role
role-edit,admin,Role
role-delete,admin,Role
role-details,admin,Role
role-trash,admin,Role
role-restore,admin,Role
role-permanent-delete,admin,Role

permission-list,admin,Permission
permission-create,admin,Permission
permission-edit,admin,Permission
permission-delete,admin,Permission
permission-details,admin,Permission
permission-trash,admin,Permission
permission-restore,admin,Permission
permission-permanent-delete,admin,Permission

credit-list,admin,Credit
credit-create,admin,Credit
credit-edit,admin,Credit
credit-delete,admin,Credit
credit-details,admin,Credit
credit-trash,admin,Credit
credit-restore,admin,Credit
credit-permanent-delete,admin,Credit
